Video ID,Comment,Author,Likes,Published At,Comment ID
EBOKYsWUhvI,"Dub maro jaato 😢😢.
Tumse tumare ladkiya nhi bchaii gyi. Aur din bhar jat jat krke aapas m bhidte rehte ho.
Tumse dilli na gheri gayi. Warna wo brjjbhusan.
Aaj jaat pichde they aur ab bi h ye sabit karwa hi dia tumne gadiye k piche jat likhwane se bahaduri na hoya kare.
Ab thukegi tumpe duniya.. Chori tumari ijjat lutwa ri th. Tmpe kim bi nhh paad ppaey tmm",HECTOR OF TROY,0.0,2023-07-06T07:04:02Z,UgwbyvIkkAhUdaCFpcp4AaABAg
EBOKYsWUhvI,Haar gye bechare,Geeta Saini,0.0,2023-07-03T22:21:37Z,Ugyz3OwSXamho91-8I94AaABAg
EBOKYsWUhvI,Dhamki mili pahalwano ko aur sab manage kr liya gaya. Ab kuch nhi hone wala sab bhul jayenge dhire dhire.,Ayaan Chouhan,0.0,2023-07-03T05:06:33Z,Ugyphs1TT1Yoj7MZBVJ4AaABAg
EBOKYsWUhvI,Jaato pr ye boj rhega ki vo apni hi vyavstha se nyay nhi le paaye... Kya fayda jat jat chillane ka jb hum nyaye hi nhi dila pa rhe...,Kamal,1.0,2023-07-02T03:39:50Z,UgwnIxpuFAcKsEzffBp4AaABAg
EBOKYsWUhvI,Pahlwan jante h kuch nhi kr payenge uska,jagriti tiwari upp,0.0,2023-06-28T15:10:36Z,UgxjuOlDigsmuDu53J54AaABAg
EBOKYsWUhvI,Logo ko ullu bana ke ye sab mahanubhav chal diye apne kaam pr,महेंद्र बाहुबलि,3.0,2023-06-28T12:41:54Z,UgzVU50IACeBJoRumVd4AaABAg
EBOKYsWUhvI,"Ye Bhabhita Fogat naam ki mahila ko Brijh Bhushan se shayd maza nahi aya tha 😂😂😂😂
#shaheenbaghprotest yaad aaya hogha inn behen ke lowde Strike karne waale so called sympathy gainer 😂😂😂",Qadeer Khan☑️,0.0,2023-06-28T05:50:15Z,Ugx_08FRkiG-m9PmLox4AaABAg
EBOKYsWUhvI,इनके विरुद्ध तो सख्त एक्शन लेना चाहिए था।,Arvind Kumar Sharma,0.0,2023-06-28T04:19:21Z,UgzKk6E2amsXXpir3U94AaABAg
EBOKYsWUhvI,"bina trial khele sirf ek boyt ke baad Okympic jaane ka mauka mil gaya  Yehi to chahte the ye besharm anpad jaahil jaat pehelwan haryana ke.  
Sahi me besharmi karo to aisi. 
Thoo bai inpe aur inke jaiso pe. Kabhi nhi sudharenge ye. Inki soch me ki chotapan hai.",hello,0.0,2023-06-27T13:09:36Z,UgwYRiZ-XPGy1F_Rl4x4AaABAg
EBOKYsWUhvI,"Ye sb drama kr rahe the, inko bs chhut chahiye tha qualifying round se, that's it.",HKS,5.0,2023-06-27T03:34:26Z,UgyfR5Y2d0fciXq0XSp4AaABAg
EBOKYsWUhvI,Trail se chut mil gyi inko lalchi ghtiya..trail k liye kuch b kr skti h ye,Luhach007,0.0,2023-06-27T01:27:08Z,UgwUbDWzCzHJibSw9b94AaABAg
EBOKYsWUhvI,Mujhe cricket khelna hai chalo jantar mantar,Abhishek Dubey,2.0,2023-06-26T16:53:54Z,Ugy38ZS2d0hVigxGpNB4AaABAg
EBOKYsWUhvI,Asli baat yogrshwar ki tumna gool maar di,Niten Kumar,0.0,2023-06-26T15:36:31Z,Ugy5JDai_w9J1i1057p4AaABAg
EBOKYsWUhvI,"Saale Teri aukaat kya hai,,, unhone olympic mai medal Jeeta hai,, tu district mai bhi Jeet ke bta de,, baat ke kra hai, pagal",Ajay Kumar,0.0,2023-06-27T14:08:27Z,UgwDzAbEUY4yv7HPlax4AaABAg.9rQm9x8Xnla9rTI-eu2q_R
EBOKYsWUhvI,Jaka dekh pura desh inka sath ha,Up 17 zila baghpat,0.0,2023-07-05T01:15:55Z,Ugx-bek-rxKV9YunWod4AaABAg.9rQm-KFHJet9rlVxXJZYmw
EBOKYsWUhvI,Doshi to sarkar dwara bachaye jaa rhe h to kaise doshi bn skte h.... Padhe likhe........ 😂,Kamal,1.0,2023-07-02T03:37:34Z,UgwH4dqhq0alebGdyVJ4AaABAg.9rQQsJBEqTe9re1mMHg0xR
EBOKYsWUhvI,Muje doubt h kyoki ye andolan kahi se lg nahi raha tha.,HKS,1.0,2023-06-27T03:32:27Z,Ugx5VEnYOHQl4MyL2Ct4AaABAg.9rQO4eYB2CO9rS9DVZQ1gq
EBOKYsWUhvI,Inko bas trial se chhut chahiye thi mil gayi dharna khatm pati patni sahit puri faugat family qualify ho gye...,Rajveer Singh Janwaar,6.0,2023-06-26T08:19:29Z,UgyeycJm-doxkzF_s8Z4AaABAg
EBOKYsWUhvI,Sab propogenda faila rahi hai hai…jab inke sath hua tab complaint nhi ki ab yaha tamasha kar rahi hai,sarwar siddique,0.0,2023-06-26T07:46:02Z,Ugz2TJyRTpKauOLJBsZ4AaABAg
EBOKYsWUhvI,Amit shah se meeting ke baad kuch to hua hai🧐,Mayu R,3.0,2023-06-26T07:11:21Z,UgwngdNxrd1r9SqET4B4AaABAg
EBOKYsWUhvI,Ha ha ha ha ha,Imran khan,0.0,2023-06-26T06:54:05Z,Ugy28d2OfjQKxruBKT94AaABAg
EBOKYsWUhvI,Ye 6 pahalwan Bhasma-sur hai ....junior ke right khaa rahe hai.,Pardeep Sharma,5.0,2023-06-26T06:39:40Z,UgzPlFphSpL-Kqm9rox4AaABAg
EBOKYsWUhvI,*आन्दोलन ऑरगोनाईजर* द्वारा संचालित था क्या  आन्दोलन  ?,𝕹𝖊𝖜 𝕯𝖆𝖜𝖓,10.0,2023-06-26T06:04:50Z,UgwLAggU79RaXvCSSbt4AaABAg
EBOKYsWUhvI,❤❤❤,braj culture,0.0,2023-06-26T06:02:51Z,UgxPAdZ7CHrRQCe4RgZ4AaABAg
