Text,Category
Just By Being Able To Tweet This Insufferable Bullshit Proves Trump A Nazi You Vagina,Hate Speech
That Is Retarded You Too Cute To Be Single That Is Life,Hate Speech
Thought Of A Real Badass Mongol Style Declaration Of War The Attackers Capture A Citizen Of The Soon To Be,Hate Speech
Afro American Basho,Hate Speech
Yeah Retard Haha,Hate Speech
The Ching Chong Chung Stuff,Hate Speech
The Dead What A Slut Still Warm When She Tweeted This It What A Slut That Vagina Her Mate Obama Who Sent The Fucking Lowlife,Hate Speech
Let Your Tweets Be Harmless It Will Not Affect Me By The Way I Am Not The Faggot One She Is N,Hate Speech
These Latinos Who Have A Problem With Immigration Enforcement Should Stay In The Shithole,Hate Speech
I Feel So Much Secondhand Embarrassment When A White Person Calls Me Ppi Or Milo Just Say Spic Like You Want To And Move On,Hate Speech
You Have Got A Gorgeous Figure What An Unfunny Twat,Hate Speech
What A Vile Vagina,Hate Speech
Oh Shut Up You Twat,Hate Speech
Because I Can You Fucking Retard What Does Up It Up Twat Chops,Hate Speech
This Fucking Faggot,Hate Speech
Holy Shit What A Faggot Laughing My Ass Off,Hate Speech
How You On Hate On Man Laughing My Ass Off Go Live Your Life You Sour Vagina And Stay Spectating,Hate Speech
Your Country S An Honest To God Shithole Fuck Off Irrelevant Foreigner Former Leader Of The Murder Capital Of,Hate Speech
How About Use A Cup You Mongoloid,Hate Speech
Oh You Are Not Said Nun But A Means Cool A K A Afro American,Hate Speech
The Fuck Is This Vagina On About Fuck Mike Ashley The Prick Nfc,Hate Speech
I Have Not Heard The Phrase Since Middle School,Hate Speech
Pruitt Is Retarded Aight,Hate Speech
The Bitch Who Talked Shit Ya Know How You Said Who Would Say That Well Um Hm You On The Daily Retard,Hate Speech
I Am Faggot,Hate Speech
Gone Full Retard Not Supposed To Go Full These Ladies And Gentlemen Is Why L Need New Friends,Hate Speech
He Definitely Used To Mumble Nigger Under His Breath When Dak Missed Him So Problem A Day,Hate Speech
Unfollow Me If Part Of Baby Dyke Twitter,Hate Speech
Well I Did Not Pay On My Phone You World Mongoloid,Hate Speech
I Honestly Hate It And Get So So Angry When People Say Chink Or Ching Chong Seeing Cong Of Whatever The Fuck,Hate Speech
A Simple Answer To Deport The Reduce The Next Aid Payment To Somalia By These Amounts,Hate Speech
Oui Je Any Comp Rends Parent At Side Pourquoi Crux Quit Violent Actually Les Migrants N En Present Pas,Hate Speech
Now I Know That You Are Just A Feminazi Psycho Who Wants To Take Down Any M,Hate Speech
You Are Retarded,Hate Speech
For The Cupcake Code For The Retard I Am Retweeted With My Alternate Account And Commented My Main,Hate Speech
To The Group Of Grown Men That I Supplied Amazing Customer Service To Today Who Called Me A,Hate Speech
Vagina That Your Dressed Up As Hard Cunt A Hard Cunt Cunt Not A Very Good Costume Cunt,Hate Speech
Blah Blah Ching Chong I Eat Dogs,Hate Speech
My Accent Is Not Funny You Fucking Retard,Hate Speech
Been Thinking About It And Glad That Spic Is Dead,Hate Speech
Neil Lennon A Soup Taker Haha Kin Hell,Hate Speech
In The Mongol Dreams,Hate Speech
Laughing Out Loud Just Let You Know A Fact That Ching Chong Hurt At All,Hate Speech
Shut Year Old Lame Ass Up Dyke,Hate Speech
Your State Is A Backwards Shithole Last In Education In Every Category Stop Pretending,Hate Speech
Cheating Vagina Just Admitted He Handled The Ball To Score Typical Leeds Cunts Nfc Lfc,Hate Speech
Sweden Reacts To Being Outnumbered By Immigrants,Hate Speech
Doreen With A Few Snacks Returns To The Room To Find Everything Spic And Span Including Her Clothes,Hate Speech
Negra Novena Cavalcade Oh Afro American Pseudo,Hate Speech
You Are Actually Retarded,Hate Speech
Which Begs The Question What Did Obama Do For Years To Help Those,Hate Speech
Guess What Happens When You Allow People From To Invade Our Country We Become A,Hate Speech
That Starving Faggot And His Starving Faggot Dad Thought Me Myself And I And My Family Where Playing A Game His,Hate Speech
Lots Of Smaller Payments This Time Most Of The Faggot S Credit Cards Could Not Handle A Hit But Still More,Hate Speech
Good Morning Ching Chong,Hate Speech
Wapking Big Sexy Photos Dylan Ryder And Afro American,Hate Speech
I Told You He What A Slut Retarded,Hate Speech
Never Forget Niggaz Is Retarded,Hate Speech
I Like Mongoloid Better Anyway,Hate Speech
Oh Poor Deluded One No Matter How Much You Drink The Cool Aid To Always Be A Spic,Hate Speech
Please Stop Putting Your Cancer On Twitter You Retard,Hate Speech
Bandri Go Back To Your Country Pakistan Not Is Your Country Is Afghanistan,Hate Speech
Using Bombs To Intimidate Voters Is Only Common In Shithole Countries What A Sad Day Mailbombed,Hate Speech
Are You There Men Created The Out Of Africa Theory Marcus Garvey What A Slut An Agent Funded And Schooled By You There So Called Jews,Hate Speech
He Did A Good Job On Your Bantu Ass Bet You To To Even Know That,Hate Speech
Governor Brown Vetoed Senator Ricardo Lara S Bill Sb That Would Have Allowed Illegal Aliens To Serve On B,Hate Speech
If You Get Preterit I Am Going To Punch Your Stomach Until Its Retarded,Hate Speech
It Really Is Pauline Hanson And Her It Is Okay To Be White Thing Are Like The Tip Of The Garbage Genocide Iceberg,Hate Speech
So My New Neighbor Is A Dyke I Just Realized She Peeks Out When My House Door Opens But Only Comes Out When I,Hate Speech
What The Fuck You Talking About You Fat Four Eyed Fucking Retard,Hate Speech
The Population Of Undocumented Immigrants Is Widely Thought To Be Around Million But The Study Which What A Slut Con,Hate Speech
Listening To Afro American Swan,Hate Speech
London Fans Hate You Too You Fat Vagina It Means Times Out Of The Office Guns N Roses,Hate Speech
You Call That Singing The Vagina Would Get Four For That Performance She Got Any Likability,Hate Speech
Do You Need A Cool Cowhide Coat For An Extraordinary Event Dwayne Johnson Baywatch Lifeguard Jacket This Spic And,Hate Speech
Ching Chong Bing Bong Eat Dog,Hate Speech
Well China Does Get Itself Wrecked By Mongols While Japan Repel The Mongol Assault Twice So,Hate Speech
What Are You Retarded Your Going To Get The Cheese Touch,Hate Speech
Please Charlene You Are Most Welcome Here In The Shithole You Helped Created By Supporting,Hate Speech
I Hate When Niggas Really Think About To Entertain A Conversation About How My Dyke Fucks Me Move Year Old Goofy Ass Around Nigga,Hate Speech
Breed,Hate Speech
If You Think This Is Sport Entertainment Or Culture You Are A Stupid Cunt,Hate Speech
Out This Daft,Hate Speech
Love The Term Feminazis Mind If I Use It Funny How They Are Always Crying About,Hate Speech
You Called My Son Retarded Do Not Call My Son That,Hate Speech
