Text,Label,Category
Just By Being Able To Tweet This Insufferable Bullshit Proves Trump A Nazi You Vagina,Hate Speech,Other
That Is Retarded You Too Cute To Be Single That Is Life,Hate Speech,Harassment
Thought Of A Real Badass Mongol Style Declaration Of War The Attackers Capture A Citizen Of The Soon To Be,Hate Speech,Racism
Afro American Basho,Hate Speech,Racism
Yeah Retard Haha,Hate Speech,Harassment
The Ching Chong Chung Stuff,Hate Speech,Other
The Dead What A Slut Still Warm When She Tweeted This It What A Slut That Vagina Her Mate Obama Who Sent The Fucking Lowlife,Hate Speech,Sexist
Let Your Tweets Be Harmless It Will Not Affect Me By The Way I Am Not The Faggot One She Is N,Hate Speech,Other
These Latinos Who Have A Problem With Immigration Enforcement Should Stay In The Shithole,Hate Speech,Other
I Feel So Much Secondhand Embarrassment When A White Person Calls Me Ppi Or Milo Just Say Spic Like You Want To And Move On,Hate Speech,Racism
You Have Got A Gorgeous Figure What An Unfunny Twat,Hate Speech,Other
What A Vile Vagina,Hate Speech,Other
Oh Shut Up You Twat,Hate Speech,Other
Because I Can You Fucking Retard What Does Up It Up Twat Chops,Hate Speech,Harassment
This Fucking Faggot,Hate Speech,Other
Holy Shit What A Faggot Laughing My Ass Off,Hate Speech,Other
How You On Hate On Man Laughing My Ass Off Go Live Your Life You Sour Vagina And Stay Spectating,Hate Speech,Other
Your Country S An Honest To God Shithole Fuck Off Irrelevant Foreigner Former Leader Of The Murder Capital Of,Hate Speech,Threat
How About Use A Cup You Mongoloid,Hate Speech,Racism
Oh You Are Not Said Nun But A Means Cool A K A Afro American,Hate Speech,Racism
The Fuck Is This Vagina On About Fuck Mike Ashley The Prick Nfc,Hate Speech,Other
I Have Not Heard The Phrase Since Middle School,Hate Speech,Other
Pruitt Is Retarded Aight,Hate Speech,Harassment
The Bitch Who Talked Shit Ya Know How You Said Who Would Say That Well Um Hm You On The Daily Retard,Hate Speech,Harassment
I Am Faggot,Hate Speech,Other
Gone Full Retard Not Supposed To Go Full These Ladies And Gentlemen Is Why L Need New Friends,Hate Speech,Harassment
He Definitely Used To Mumble Nigger Under His Breath When Dak Missed Him So Problem A Day,Hate Speech,Other
Unfollow Me If Part Of Baby Dyke Twitter,Hate Speech,Other
Well I Did Not Pay On My Phone You World Mongoloid,Hate Speech,Racism
I Honestly Hate It And Get So So Angry When People Say Chink Or Ching Chong Seeing Cong Of Whatever The Fuck,Hate Speech,Other
A Simple Answer To Deport The Reduce The Next Aid Payment To Somalia By These Amounts,Hate Speech,Other
Oui Je Any Comp Rends Parent At Side Pourquoi Crux Quit Violent Actually Les Migrants N En Present Pas,Hate Speech,Other
Now I Know That You Are Just A Feminazi Psycho Who Wants To Take Down Any M,Hate Speech,Other
You Are Retarded,Hate Speech,Harassment
For The Cupcake Code For The Retard I Am Retweeted With My Alternate Account And Commented My Main,Hate Speech,Harassment
To The Group Of Grown Men That I Supplied Amazing Customer Service To Today Who Called Me A,Hate Speech,Other
Vagina That Your Dressed Up As Hard Cunt A Hard Cunt Cunt Not A Very Good Costume Cunt,Hate Speech,Other
Blah Blah Ching Chong I Eat Dogs,Hate Speech,Other
My Accent Is Not Funny You Fucking Retard,Hate Speech,Harassment
Been Thinking About It And Glad That Spic Is Dead,Hate Speech,Other
